Nuclide,emission probability,sigma emission probability,half_life,sigma half_life
Ag129,0.08951,1e-12,0.046,0.007
Mg32,0.055,1e-12,0.086,0.005
Zn79,0.013,0.004,0.995,0.019
F25,0.14,1e-12,0.05,0.006
Tc112,0.015,0.002,0.28,0.03
Ru115,0.00037752,1e-12,0.74,0.08
Te142,0.133189935348,1e-12,0.2,0.0
Fe72,0.276,1e-12,1.5e-07,0.0
In127_m1,0.0069,0.0004,3.67,0.04
Cd132,1.001511,1e-12,0.097,0.01
Rb94,0.105,0.004,2.702,0.005
Zr107,0.015282,1e-12,0.15,0.015
Pr158,0.15782,1e-12,0.1342,0.0
Sb134_m1,0.00088,4.000000000000002e-05,10.07,0.05
Kr98,0.12157061014000001,1e-12,0.046,0.008
H4,1.0,1e-12,9.90652e-23,1.93823e-23
Na32,0.4,1e-12,0.0132,0.0004
Ni72,1.3459e-07,1e-12,1.57,0.05
O27,1.0,1e-12,2.6e-07,0.0
Y102_m1,0.049,0.012,0.298,0.009
Ni77,0.5535539934,1e-12,0.061,0.0
V63,0.35,1e-12,0.017,0.003
Nb103,1.177e-08,1e-12,1.5,0.2
C22,1.35,1e-12,0.0062,0.0013
Cs143,0.0164,0.0007,1.791,0.007
Ru118,0.018799,1e-12,0.123,0.0415
Ar50,0.35,1e-12,0.085,0.03
Br91,0.2,0.03,0.541,0.005
In131,0.02,0.003,0.28,0.03
Tc113,0.021,0.003,0.16,0.045
Mn68,0.263358,1e-12,0.028,0.004
K55,0.5,1e-12,0.003,0.0
S43,0.4,1e-12,0.28,0.03
Ru114,3.2567e-10,1e-12,0.52,0.05
In130_m2,0.0165,0.0015,0.54,0.01
Sm165,0.0011126,1e-12,0.764,0.0
Tc110,0.0004,0.0002,0.92,0.03
I140,0.097633000248,1e-12,0.86,0.04
Y98_m1,0.00331,0.00024,2.0,0.2
Y102,0.049,0.012,0.36,0.04
Sr97,0.0002,0.0001,0.429,0.005
Sb139,1.0020363,1e-12,0.127,0.0
Pd125,0.08396,1e-12,0.3987,0.0
Cu77,0.175,0.075,0.469,0.008
Mo112,0.0028334,1e-12,0.287,0.0
Br89,0.138,0.004,4.4,0.03
Kr99,0.11,0.07,0.027,0.02
Rh122,0.076511038,1e-12,0.108,0.0
I137,0.0714,0.0023,24.5,0.2
Cl46,0.6,1e-12,0.232,0.002
Zr108,0.015702,1e-12,0.08,0.008
Rb100,0.3288358,1e-12,0.051,0.008
N18,0.143,1e-12,0.624,0.012
La155,0.54709053158,1e-12,0.184,0.0
In135,1.0976263,1e-12,0.092,0.01
Al34,0.27,1e-12,0.042,0.006
Cu75,0.035,0.006,1.224,0.003
Co74,0.0967478,1e-12,0.03,0.003
Na31,0.37,1e-12,0.017,0.0004
Ge85,0.01410442076,1e-12,0.535,0.047
Sb135,0.22,0.03,1.679,0.015
C20,0.72,1e-12,0.0145,0.0055
Zr105,0.00069656,1e-12,0.6,0.1
Cu74,0.00075,0.00016,1.75,0.06
N25,1.0,1e-12,2.6e-07,0.0
Kr95,0.03644800000000049,1e-12,0.114,0.003
Be13,1.0,1e-12,2.7e-21,1.8e-21
Cu79,0.55,0.17,0.188,0.025
Tc116,0.19637652,1e-12,0.09,0.009
K53,1.01,1e-12,0.03,0.005
Sc56,0.5,1e-12,0.06,0.007
Xe146,0.023771,1e-12,0.369,0.0
N19,0.546,1e-12,0.271,0.008
Ce155,0.0011483,1e-12,0.471,0.0
Ag125,0.031585,1e-12,0.166,0.007
Rh118,0.031,0.014,0.266,0.0215
Cu80,0.6411279999999999,1e-12,0.17,0.0
Ca53,0.3,1e-12,0.09,0.015
In132,0.051556035804,1e-12,0.207,0.006
P43,1.0,1e-12,0.0365,0.0015
Rh120,0.022411,1e-12,0.136,0.0135
F30,1.0,1e-12,2.6e-07,0.0
B15,0.9440000000000001,1e-12,0.00993,7e-05
Rh121,0.10581,1e-12,0.151,0.0625
Rb99,0.2768831906,1e-12,0.054,0.004
Ne28,0.191,1e-12,0.0189,0.0004
He9,1.0,1e-12,7e-21,4e-21
I139,0.1,0.003,2.28,0.011
P44,0.5,1e-12,0.0185,0.0025
F27,0.77,1e-12,0.005,0.0002
Mn64,0.33,1e-12,0.09,0.004
Te136,0.0131,0.0005,17.5,0.2
Sr98,0.0025,0.0005,0.653,0.002
Sn134,0.17,0.13,1.05,0.011
Y104,0.050501378,1e-12,0.18,0.06
Ba151,0.033412,1e-12,0.259,0.0
H5,1.0,1e-12,7.99473e-23,2.94542e-23
Ce156,0.006279,1e-12,0.369,0.0
Y97,0.00055,4.000000000000002e-05,3.75,0.03
Nd159,0.00034508,1e-12,0.773,0.0
Ga85,1.0077072053365,1e-12,0.048,0.0
Sr100,0.0078,0.0013,0.202,0.003
Cd128,0.0098411,1e-12,0.28,0.04
O24,0.58,1e-12,0.065,0.005
Co71,0.0261,1e-12,0.079,0.005
Pm162,0.0064282,1e-12,0.2679,0.0
Ga84,0.16827,1e-12,0.085,0.01
Zn81,0.075,0.03,0.32,0.05
Pd126,0.0095533,1e-12,0.2499,0.0
Tc117,0.28933443000000003,1e-12,0.04,0.004
Nb111,0.948573034,1e-12,0.08,0.008
Sr96,1.0158e-06,1e-12,1.07,0.01
Rh119,0.064,0.016,0.171,0.018
As88,0.4117827,1e-12,0.112,0.0
Se89,0.078,0.025,0.41,0.04
P38,0.12,1e-12,0.64,0.14
As91,1.014177199,1e-12,0.044,0.0
Ne34,0.5,1e-12,6e-08,0.0
N22,0.62,1e-12,0.024,0.005
